miRna,target,lp_label,confidence,mor
20041,3965,1,Medium,
20041,3966,1,Medium,
20041,4334,1,Medium,
20041,4335,1,Medium,
20041,3963,1,Medium,
20041,3967,1,Medium,
20041,3968,1,Medium,
20041,3656,1,Medium,
20041,3648,1,Medium,
20041,3970,1,Medium,
20041,3934,1,Medium,
20041,4336,1,Medium,
20041,3986,1,Medium,
20041,4031,1,Medium,
20041,3972,1,Medium,
20041,3976,1,Medium,
20041,2430,1,Medium,
20041,4337,1,Medium,
20041,3974,1,Medium,
20041,3971,1,Medium,
20041,3692,1,Medium,
20041,3969,1,Medium,
20041,3981,1,Medium,
20041,4338,1,Medium,
20041,4339,1,Medium,
20041,3980,1,Medium,
20041,3975,1,Medium,
20041,1959,1,Medium,
20041,2013,1,Medium,
20041,3978,1,Medium,
20041,3479,1,Medium,
20041,3979,1,Medium,
20041,3982,1,Medium,
20041,1886,1,Medium,
20041,3983,1,Medium,
20041,3993,1,Medium,
20041,3990,1,Medium,
20041,2415,1,Medium,
20041,4340,1,Medium,
20041,3991,1,Medium,
20041,2060,1,Medium,
20041,4341,1,Medium,
20041,3992,1,Medium,
20041,3988,1,Medium,
20041,3997,1,Medium,
20041,3987,1,Medium,
20041,4342,1,Medium,
20041,3995,1,Medium,
20041,3409,1,Medium,
20041,4343,1,Medium,
20041,3999,1,Medium,
20041,4000,1,Medium,
20041,4344,1,Medium,
20041,3994,1,Medium,
20041,4345,1,Medium,
20041,3532,1,Medium,
20041,3998,1,Medium,
20041,4346,1,Medium,
20041,4004,1,Medium,
20041,2413,1,Medium,
20041,4003,1,Medium,
20041,4005,1,Medium,
20041,3647,1,Medium,
20041,4006,1,Medium,
20041,4030,1,Medium,
20041,4011,1,Medium,
20041,4026,1,Medium,
20041,4018,1,Medium,
20041,4347,1,Medium,
20041,4016,1,Medium,
20041,4019,1,Medium,
20041,4010,1,Medium,
20041,4012,1,Medium,
20041,4015,1,Medium,
20041,2403,1,Medium,
20041,4014,1,Medium,
20041,4022,1,Medium,
20041,1893,1,Medium,
20041,4017,1,Medium,
20041,4008,1,Medium,
20041,4013,1,Medium,
20041,2399,1,Medium,
20041,4028,1,Medium,
20041,4021,1,Medium,
20041,4023,1,Medium,
20041,4024,1,Medium,
20041,4020,1,Medium,
20041,4348,1,Medium,
20041,4173,1,Medium,
20041,3985,1,Medium,
20041,4048,1,Medium,
20041,2377,1,Medium,
20041,4046,1,Medium,
20041,4035,1,Medium,
20041,4034,1,Medium,
20041,4036,1,Medium,
20041,4037,1,Medium,
20041,4349,1,Medium,
20041,4039,1,Medium,
20041,4038,1,Medium,
20041,4040,1,Medium,
20041,4041,1,Medium,
20041,4042,1,Medium,
20041,4043,1,Medium,
20041,4047,1,Medium,
20041,4170,1,Medium,
20041,4080,1,Medium,
20041,2108,1,Medium,
20041,4059,1,Medium,
20041,4044,1,Medium,
20041,4050,1,Medium,
20041,4045,1,Medium,
20041,4051,1,Medium,
20041,4052,1,Medium,
20041,4053,1,Medium,
20041,4350,1,Medium,
20041,4351,1,Medium,
20041,4033,1,Medium,
20041,1992,1,Medium,
20041,4058,1,Medium,
20041,4352,1,Medium,
20041,4061,1,Medium,
20041,4353,1,Medium,
20041,4057,1,Medium,
20041,4060,1,Medium,
20041,4055,1,Medium,
20041,4354,1,Medium,
20041,4355,1,Medium,
20041,4056,1,Medium,
20041,2992,1,Medium,
20041,4062,1,Medium,
20041,3198,1,Medium,
20041,4065,1,Medium,
20041,4064,1,Medium,
20041,4066,1,Medium,
20041,4067,1,Medium,
20041,4356,1,Medium,
20041,4054,1,Medium,
20041,3200,1,Medium,
20041,4068,1,Medium,
20041,4063,1,Medium,
20041,4357,1,Medium,
20041,4070,1,Medium,
20041,4071,1,Medium,
20041,2871,1,Medium,
20041,3932,1,Medium,
20041,3199,1,Medium,
20041,4032,1,Medium,
20041,4078,1,Medium,
20041,3984,1,Medium,
20041,4076,1,Medium,
20041,4077,1,Medium,
20041,4143,1,Medium,
20041,2093,1,Medium,
20041,4094,1,Medium,
20041,4081,1,Medium,
20041,4358,1,Medium,
20041,2334,1,Medium,
20041,4083,1,Medium,
20041,4082,1,Medium,
20041,4079,1,Medium,
20041,4359,1,Medium,
20041,4084,1,Medium,
20041,4085,1,Medium,
20041,4087,1,Medium,
20041,4086,1,Medium,
20041,4360,1,Medium,
20041,3679,1,Medium,
20041,2324,1,Medium,
20041,4074,1,Medium,
20041,4075,1,Medium,
20041,4090,1,Medium,
20041,4092,1,Medium,
20041,2632,1,Medium,
20041,4093,1,Medium,
20041,4091,1,Medium,
20041,4098,1,Medium,
20041,4095,1,Medium,
20041,4097,1,Medium,
20041,4361,1,Medium,
20041,4099,1,Medium,
20041,4122,1,Medium,
20041,4088,1,Medium,
20041,4089,1,Medium,
20041,4105,1,Medium,
20041,4100,1,Medium,
20041,4102,1,Medium,
20041,2550,1,Medium,
20041,4101,1,Medium,
20041,4108,1,Medium,
20041,4103,1,Medium,
20041,4106,1,Medium,
20041,4109,1,Medium,
20041,4107,1,Medium,
20041,4123,1,Medium,
20041,4362,1,Medium,
20041,4117,1,Medium,
20041,4073,1,Medium,
20041,1885,1,Medium,
20041,4115,1,Medium,
20041,4114,1,Medium,
20041,4125,1,Medium,
20041,4111,1,Medium,
20041,4118,1,Medium,
20041,4119,1,Medium,
20041,4127,1,Medium,
20041,3684,1,Medium,
20041,4126,1,Medium,
20041,4124,1,Medium,
20041,2975,1,Medium,
20041,4363,1,Medium,
20041,4364,1,Medium,
20041,4129,1,Medium,
20041,3484,1,Medium,
20041,2978,1,Medium,
20041,2299,1,Medium,
20041,4110,1,Medium,
20041,4131,1,Medium,
20041,4365,1,Medium,
20041,4121,1,Medium,
20041,4128,1,Medium,
20041,4130,1,Medium,
20041,4141,1,Medium,
20041,4132,1,Medium,
20041,4133,1,Medium,
20041,4134,1,Medium,
20041,4366,1,Medium,
20041,4135,1,Medium,
20041,4142,1,Medium,
20041,4138,1,Medium,
20041,4112,1,Medium,
20041,1810,1,Medium,
20041,4139,1,Medium,
20041,4136,1,Medium,
20041,4137,1,Medium,
20041,4148,1,Medium,
20041,4152,1,Medium,
20041,4367,1,Medium,
20041,4147,1,Medium,
20041,4151,1,Medium,
20041,4146,1,Medium,
20041,4144,1,Medium,
20041,4145,1,Medium,
20041,4153,1,Medium,
20041,2558,1,Medium,
20041,4149,1,Medium,
20041,4150,1,Medium,
20041,4156,1,Medium,
20041,4154,1,Medium,
20041,4158,1,Medium,
20041,4157,1,Medium,
20041,4160,1,Medium,
