miRna,TF,lp_label,confidence,mor
20050,239,1,Medium,
20050,712,1,Medium,
20050,75,1,Medium,
20050,738,1,Medium,
20050,740,1,Medium,
20050,88,1,Medium,
20050,1106,1,Medium,
20050,313,1,Medium,
20050,788,1,Medium,
20050,789,1,Medium,
20050,794,1,Medium,
20050,328,1,Medium,
20050,336,1,Medium,
20050,164,1,Medium,
20050,843,1,Medium,
20050,780,1,Medium,
20050,564,1,Medium,
20050,96,1,Medium,
20050,114,1,Medium,
20050,563,1,Medium,
20050,1003,1,Medium,
20050,1001,1,Medium,
20050,584,1,Medium,
20050,591,1,Medium,
20050,94,1,Medium,
20050,837,1,Medium,
20050,346,1,Medium,
20050,348,1,Medium,
20050,1119,1,Medium,
20050,1117,1,Medium,
20050,831,1,Medium,
20050,355,1,Medium,
20050,1130,1,Medium,
20050,1124,1,Medium,
20050,839,1,Medium,
20050,877,1,Medium,
20050,1138,1,Medium,
20050,854,1,Medium,
20050,1170,1,Medium,
20050,1164,1,Medium,
20050,1163,1,Medium,
20050,1149,1,Medium,
20050,384,1,Medium,
20050,1260,1,Medium,
20050,388,1,Medium,
20050,879,1,Medium,
20050,883,1,Medium,
20050,1186,1,Medium,
20050,1205,1,Medium,
20050,1335,1,Medium,
20050,891,1,Medium,
20050,894,1,Medium,
20050,1494,1,Medium,
20050,1386,1,Medium,
20050,1430,1,Medium,
20050,1419,1,Medium,
20050,1511,1,Medium,
20050,1573,1,Medium,
20050,1512,1,Medium,
20050,1561,1,Medium,
20050,597,1,Medium,
20050,1072,1,Medium,
20050,1073,1,Medium,
20050,284,1,Medium,
20050,756,1,Medium,
20050,290,1,Medium,
20050,1075,1,Medium,
20050,763,1,Medium,
20050,300,1,Medium,
20050,307,1,Medium,
20050,1079,1,Medium,
20050,302,1,Medium,
20050,1054,1,Medium,
20050,200,1,Medium,
20050,169,1,Medium,
20050,608,1,Medium,
20050,615,1,Medium,
20050,1013,1,Medium,
20050,196,1,Medium,
20050,669,1,Medium,
20050,97,1,Medium,
20050,173,1,Medium,
20050,174,1,Medium,
20051,19,1,Medium,
20052,486,1,Medium,
20052,85,1,Medium,
20052,480,1,Medium,
20052,686,1,Medium,
20052,464,1,Medium,
20052,457,1,Medium,
20052,511,1,Medium,
20052,494,1,Medium,
20052,963,1,Medium,
20052,531,1,Medium,
20052,124,1,Medium,
20052,986,1,Medium,
20052,556,1,Medium,
20052,123,1,Medium,
20052,578,1,Medium,
20052,138,1,Medium,
20052,562,1,Medium,
20052,1003,1,Medium,
20052,151,1,Medium,
20052,621,1,Medium,
20052,630,1,Medium,
20052,627,1,Medium,
20052,182,1,Medium,
20052,181,1,Medium,
20052,187,1,Medium,
20052,650,1,Medium,
20052,192,1,Medium,
20052,668,1,Medium,
20052,1028,1,Medium,
20052,197,1,Medium,
20052,196,1,Medium,
20052,1031,1,Medium,
20052,689,1,Medium,
20052,215,1,Medium,
20052,231,1,Medium,
20052,714,1,Medium,
20052,710,1,Medium,
20052,234,1,Medium,
20052,703,1,Medium,
20052,713,1,Medium,
20052,718,1,Medium,
20052,719,1,Medium,
20052,258,1,Medium,
20052,727,1,Medium,
20052,739,1,Medium,
20052,3,1,Medium,
20052,10,1,Medium,
20052,8,1,Medium,
20052,11,1,Medium,
20052,414,1,Medium,
20052,410,1,Medium,
20052,416,1,Medium,
20052,425,1,Medium,
20052,446,1,Medium,
20052,45,1,Medium,
20052,52,1,Medium,
20052,47,1,Medium,
20052,46,1,Medium,
20052,269,1,Medium,
20052,747,1,Medium,
20052,280,1,Medium,
20052,1072,1,Medium,
20052,303,1,Medium,
20052,769,1,Medium,
20052,1079,1,Medium,
20052,766,1,Medium,
20052,1087,1,Medium,
20052,815,1,Medium,
20052,314,1,Medium,
20052,1104,1,Medium,
20052,345,1,Medium,
20052,812,1,Medium,
20052,382,1,Medium,
20052,350,1,Medium,
20052,827,1,Medium,
20052,817,1,Medium,
20052,358,1,Medium,
20052,828,1,Medium,
20052,833,1,Medium,
20052,1124,1,Medium,
20052,862,1,Medium,
20052,868,1,Medium,
20052,1167,1,Medium,
20052,1164,1,Medium,
20052,1175,1,Medium,
20052,451,1,Medium,
20052,1209,1,Medium,
20052,1204,1,Medium,
20052,1214,1,Medium,
20052,1210,1,Medium,
20052,883,1,Medium,
20052,1550,1,Medium,
20052,1221,1,Medium,
20052,1511,1,Medium,
20052,1384,1,Medium,
20052,1634,1,Medium,
20053,281,1,Medium,
20053,1084,1,Medium,
20053,793,1,Medium,
20053,797,1,Medium,
20053,1097,1,Medium,
20053,329,1,Medium,
20053,331,1,Medium,
20053,812,1,Medium,
20053,828,1,Medium,
20053,361,1,Medium,
20053,1179,1,Medium,
20053,1204,1,Medium,
20053,1293,1,Medium,
20053,1260,1,Medium,
20053,1527,1,Medium,
20053,1430,1,Medium,
20053,622,1,Medium,
20053,412,1,Medium,
20053,14,1,Medium,
20053,410,1,Medium,
20053,27,1,Medium,
20053,58,1,Medium,
20053,934,1,Medium,
20053,52,1,Medium,
20053,949,1,Medium,
20053,965,1,Medium,
20053,196,1,Medium,
20053,672,1,Medium,
20053,248,1,Medium,
20053,681,1,Medium,
20053,689,1,Medium,
20053,1053,1,Medium,
20053,1067,1,Medium,
20054,929,1,Medium,
20054,161,1,Medium,
20054,3,1,Medium,
20054,910,1,Medium,
20054,923,1,Medium,
20054,35,1,Medium,
20054,45,1,Medium,
20054,52,1,Medium,
20054,451,1,Medium,
20054,64,1,Medium,
20054,950,1,Medium,
20054,66,1,Medium,
20054,67,1,Medium,
20054,70,1,Medium,
20054,68,1,Medium,
20054,79,1,Medium,
20054,488,1,Medium,
20054,85,1,Medium,
20054,963,1,Medium,
20054,967,1,Medium,
20054,511,1,Medium,
20054,519,1,Medium,
20054,972,1,Medium,
20054,114,1,Medium,
20054,527,1,Medium,
20054,538,1,Medium,
20054,1003,1,Medium,
20054,122,1,Medium,
